pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_BAD_PATHWAY,0.017573033120347088,0.06533386198155289,0.35248785758361917,0.664101199277575,1.386641278833744,24,
BIOCARTA_BARD1_PATHWAY,0.04195804195804196,0.10925287947346772,0.21925034670375515,0.749027866233332,1.4258225155873474,8,
BIOCARTA_BARRESTIN_PATHWAY,0.027972027972027972,0.0865117415335756,0.27128855468895297,0.711314693851219,1.4109133983641242,12,
BIOCARTA_BARRESTIN_SRC_PATHWAY,0.027972027972027972,0.0865117415335756,0.27128855468895297,0.6739541822218447,1.3743579164786526,17,
BIOCARTA_BARR_MAPK_PATHWAY,0.025974025974025976,0.08317779510620485,0.28201335001172506,0.6935731635411975,1.3928991045925934,14,
BIOCARTA_BBCELL_PATHWAY,0.9310689310689311,0.9464364125289852,0.012413637236997066,0.30409890105373383,0.578871734463232,8,
BIOCARTA_BCELLSURVIVAL_PATHWAY,0.07892107892107893,0.16296167389461852,0.1563124030731863,0.6428288492326076,1.2984911712776548,15,
BIOCARTA_BCR_PATHWAY,0.005019433068454847,0.02838334108369777,0.40701791892395395,0.6563388317354153,1.3954272495304334,31,
BIOCARTA_BIOPEPTIDES_PATHWAY,0.0073989796311380316,0.03664564562065392,0.40701791892395395,0.660403597407091,1.3942041259986482,28,
BIOCARTA_BLYMPHOCYTE_PATHWAY,0.999000999000999,0.9993537535910417,0.0014426950408889026,0.1444728986660544,0.28656619944796774,12,
BIOCARTA_BOTULIN_PATHWAY,0.3036963036963037,0.4066028489468943,0.06911984565510101,0.6511951481587617,1.1938496722374299,5,
BIOCARTA_BTG2_PATHWAY,0.1258741258741259,0.22190503957772162,0.12043337164225933,0.6434663313484628,1.2634464505514331,11,
BIOCARTA_CACAM_PATHWAY,0.17682317682317683,0.2795424441629799,0.09854998035316907,0.6425169996768223,1.2430101470173753,9,
BIOCARTA_CALCINEURIN_PATHWAY,0.00316334229343525,0.021965070385544273,0.4317076958033464,0.7424006589020034,1.513937074174988,17,
BIOCARTA_CARDIACEGF_PATHWAY,0.18581418581418582,0.2879713284527289,0.09560314922043013,0.5820954124096951,1.187035349426518,17,
BIOCARTA_CARM1_PATHWAY,0.13286713286713286,0.22910078357430763,0.11673920479122178,0.6348371226267052,1.2592179099287586,12,
BIOCARTA_CARM_ER_PATHWAY,0.02868738287679295,0.0878313977698642,0.35248785758361917,0.64648051335619094,1.349849340366331,24,
BIOCARTA_CASPASE_PATHWAY,0.06593406593406594,0.14457523900248356,0.1723243449009459,0.6138680370837015,1.2717935587708558,22,
BIOCARTA_CB1R_PATHWAY,0.3226773226773227,0.42459120071753603,0.06613262047584399,0.6177835530400689,1.1617070469215605,7,
BIOCARTA_CBL_PATHWAY,0.3776223776223776,0.4748354175784269,0.05859375689456714,0.5534556844490777,1.0867105021475056,11,
BIOCARTA_CCR3_PATHWAY,0.0036813109811171326,0.024253846533732176,0.4317076958033464,0.7386971308551971,1.506384671913385,17,
BIOCARTA_CCR5_PATHWAY,0.11688311688311688,0.21199095398839315,0.12563992130984047,0.6185113523014986,1.2529882615599204,16,
BIOCARTA_CD40_PATHWAY,7.840062437240108e-5,0.0022664180494593087,0.5384340963099162,0.8598212450055327,1.7054804649236888,12,
BIOCARTA_CDC25_PATHWAY,0.3246753246753247,0.42682375629011354,0.06583119583688658,0.5849036863949217,1.131551721717011,9,
BIOCARTA_CDC42RAC_PATHWAY,0.29270729270729273,0.3961967320782419,0.0709609456938284,0.6109107015066664,1.1629076466830977,8,
BIOCARTA_CDK5_PATHWAY,0.054945054945054944,0.12875048855197738,0.19002330527910832,0.6797593398890431,1.355533035739982,13,
BIOCARTA_CDMAC_PATHWAY,0.018173806191245024,0.06677871976627386,0.35248785758361917,0.7085772164500969,1.4354448488570177,16,
BIOCARTA_CELL2CELL_PATHWAY,0.8741258741258742,0.9031358867245083,0.01731295880670774,0.36996271043362583,0.7264219595673316,11,
BIOCARTA_CELLCYCLE_PATHWAY,0.012180821574363744,0.05067293321611231,0.3807304007227924,0.6758091061607003,1.4071593502999642,23,
BIOCARTA_CERAMIDE_PATHWAY,0.023580780043680107,0.07905840220561627,0.35248785758361917,0.6645862145108213,1.3731791209271074,20,
BIOCARTA_CFTR_PATHWAY,0.07192807192807193,0.15379036058281342,0.16440575583821013,0.6782408688659178,1.3317262716633218,11,
BIOCARTA_CHEMICAL_PATHWAY,0.04795204795204795,0.11812882769404509,0.20429475651688608,0.6474897907252246,1.3262019496953674,18,
BIOCARTA_CHREBP_PATHWAY,0.14585414585414586,0.24392254734639623,0.11056471633661853,0.5919975169665607,1.2157662562206453,19,
BIOCARTA_CIRCADIAN_PATHWAY,0.004498909339188001,0.02677607176033531,0.40701791892395395,0.8823898160633862,1.6311035427943608,6,
BIOCARTA_CK1_PATHWAY,0.055944055944055944,0.13012275081240599,0.1882041463084906,0.6567530072434293,1.330458698547966,16,
BIOCARTA_CLASSIC_PATHWAY,0.8861138861138861,0.9121949997676742,0.016356070983032985,0.3695855037077861,0.7422364996889036,14,
BIOCARTA_COMP_PATHWAY,0.5914085914085914,0.665129233608789,0.03792714671080983,0.4658154955434119,0.9566302980597935,19,
BIOCARTA_CPSF_PATHWAY,0.5434565434565435,0.6248426897777547,0.0418238690062304,0.5177750575265208,1.0016850148738363,9,
BIOCARTA_CREB_PATHWAY,0.012330277644161166,0.05114447520630831,0.3807304007227924,0.6649126105802614,1.377546189403877,22,
BIOCARTA_CREM_PATHWAY,0.3956043956043956,0.49177150186364754,0.056411838821759604,0.5986576712534513,1.1066227541687557,6,
BIOCARTA_CSK_PATHWAY,0.5874125874125874,0.661422837893426,0.038241681626077384,0.46222844130797186,0.9550641148492446,20,
BIOCARTA_CTBP1_PATHWAY,0.03896103896103896,0.10442443081988967,0.22798720285044224,0.7515890402761765,1.4306978744107641,8,
BIOCARTA_CTCF_PATHWAY,9.113052147206053e-4,0.009597500644250835,0.47727081536286214,0.7305146635438446,1.5253123896857328,24,
BIOCARTA_CTLA4_PATHWAY,0.4725274725274725,0.5601131086486735,0.048214971002556443,0.48809280230985935,1.0085054889380158,20,
BIOCARTA_CTL_PATHWAY,0.8761238761238761,0.9045404304150659,0.017155398575133162,0.37230315329643837,0.7424233754344088,13,
BIOCARTA_CXCR4_PATHWAY,0.022980004068994572,0.07768777031916661,0.35248785758361917,0.6790944935416524,1.3946345151306194,19,
BIOCARTA_CYTOKINE_PATHWAY,0.5224775224775224,0.6066306644175496,0.043625124000060564,0.4846832968321774,0.9927383295474882,18,
BIOCARTA_D4GDI_PATHWAY,0.01577071714002364,0.061119619230761923,0.35248785758361917,0.7280741405948186,1.444156248770727,12,
BIOCARTA_DC_PATHWAY,0.7242757242757243,0.7795870542831029,0.028151481896023216,0.43287097154228116,0.8743838045243745,15,
BIOCARTA_DEATH_PATHWAY,0.0023863913265429106,0.018028391008256175,0.4317076958033464,0.683565073989508,1.4431012342854785,28,
BIOCARTA_DICER_PATHWAY,0.42857142857142855,0.5206444498897329,0.05269730857084192,0.5968016689063695,1.0941289701392474,5,
BIOCARTA_DNAFRAGMENT_PATHWAY,0.21978021978021978,0.32445928224979814,0.08603472424556043,0.6136635366967884,1.1944939760374629,10,
BIOCARTA_DREAM_PATHWAY,0.1838161838161838,0.28644183099628645,0.09624060232812902,0.6113183764059882,1.2190523997927094,13,
BIOCARTA_DSP_PATHWAY,0.5454545454545454,0.6266312762663127,0.041655677397946726,0.5217695822830026,0.9932218171118882,8,
BIOCARTA_ECM_PATHWAY,0.011134629781865267,0.048085985018329724,0.3807304007227924,0.6965778172815581,1.430539454662248,19,
BIOCARTA_EDG1_PATHWAY,0.13486513486513488,0.23113909683782646,0.11573444770168878,0.583602395556136,1.209090101966544,22,
BIOCARTA_EEA1_PATHWAY,0.8321678321678322,0.8702589400263819,0.020489362510801908,0.3856055395312672,0.7251094180171693,7,
BIOCARTA_EFP_PATHWAY,0.053946053946053944,0.12746386224284473,0.19189224038483796,0.6579749563582546,1.3329341387988238,16,
BIOCARTA_EGFR_SMRTE_PATHWAY,0.11788211788211789,0.2127134012484331,0.12503336755527242,0.6512722580169242,1.2787733913128319,11,
BIOCARTA_EGF_PATHWAY,0.03796203796203796,0.10311261126217981,0.23112670967383428,0.61971662871112,1.3007382521705964,26,
BIOCARTA_EICOSANOID_PATHWAY,0.1918081918081918,0.29452173842417745,0.09374654224917187,0.5658529277203259,1.1702152211017036,21,
BIOCARTA_EIF2_PATHWAY,0.03169719034496355,0.09276667380917536,0.3217759180753611,0.7586448146376433,1.4676704321458027,9,
BIOCARTA_EIF4_PATHWAY,7.372887710680784e-4,0.008288647176332802,0.47727081536286214,0.7353034515766348,1.5353113644942038,24,
BIOCARTA_EIF_PATHWAY,0.2727272727272727,0.3776326312983204,0.0745500777420554,0.5679314202015635,1.1405734942652075,14,
BIOCARTA_EOSINOPHILS_PATHWAY,0.942057942057942,0.953842083577609,0.011314601225254678,0.27821955384829034,0.51429072695011,6,
BIOCARTA_EPHA4_PATHWAY,0.12687312687312688,0.22242052501953494,0.11988784511542344,0.6806212150227795,1.2956060738380994,8,
BIOCARTA_EPONFKB_PATHWAY,0.06793206793206794,0.14781224919473768,0.16957064440562838,0.680727992029879,1.3366097391899068,11,
BIOCARTA_EPO_PATHWAY,0.21478521478521478,0.3189132670264746,0.08730982576379309,0.5692632359965306,1.165976706169989,18,
BIOCARTA_ERAD_PATHWAY,0.0999000999000999,0.19032749362271892,0.1372507796101328,0.6081728625728268,1.2489850431364629,19,
BIOCARTA_ERBB3_PATHWAY,0.7732267732267732,0.8210462700717573,0.02470863138011972,0.4139780956617137,0.7589546931002615,5,
BIOCARTA_ERBB4_PATHWAY,0.7192807192807192,0.7762751534180106,0.028503859924782167,0.4458909619262186,0.8384727467724032,7,
BIOCARTA_ERK5_PATHWAY,0.01847419289915788,0.06761936496552232,0.35248785758361917,0.714312845286698,1.4345504914273253,14,
BIOCARTA_ERK_PATHWAY,0.059940059940059943,0.13650336801462204,0.18138312849840757,0.5993905007542745,1.2580752495544318,26,
BIOCARTA_ERYTH_PATHWAY,0.19080919080919082,0.29346494981674137,0.09405034657278127,0.6084151521485156,1.2132629737999632,13,
BIOCARTA_ETC_PATHWAY,0.7742257742257742,0.8217990327394598,0.024638225706347636,0.42348693588412273,0.806134505084729,8,
BIOCARTA_ETS_PATHWAY,0.14385614385614387,0.24229753599551462,0.11146266692298015,0.600337353196081,1.2242351419243582,17,
BIOCARTA_EXTRINSIC_PATHWAY,0.5684315684315684,0.6456963245255146,0.039759647508789964,0.48485448990291297,0.9668661245574595,13,
BIOCARTA_FAS_PATHWAY,0.022980004068994572,0.07768777031916661,0.35248785758361917,0.6343884557207438,1.3447344464080955,30,
BIOCARTA_FBW7_PATHWAY,0.24775224775224775,0.353414963686867,0.07955646772359566,0.6098529208317917,1.1798183848262258,9,
BIOCARTA_FCER1_PATHWAY,1.4850662000473103e-4,0.003093523929951493,0.5188480777437918,0.6991540841304184,1.508649293226398,37,
BIOCARTA_FEEDER_PATHWAY,0.942057942057942,0.953842083577609,0.011314601225254678,0.2913272067990222,0.5636001449542298,9,
BIOCARTA_FIBRINOLYSIS_PATHWAY,0.8121878121878122,0.8547281099287043,0.021939825270977154,0.41008107767311774,0.8134077531450805,12,
BIOCARTA_FLUMAZENIL_PATHWAY,0.005316875666265021,0.029651001501040955,0.40701791892395395,0.8333223594259113,1.5862824821015487,8,
BIOCARTA_FMLP_PATHWAY,0.0012977798595900395,0.011898415346985701,0.45505986738722953,0.6794746630039641,1.4520587219879535,33,
BIOCARTA_FOSB_PATHWAY,0.5154845154845155,0.6004801119932699,0.04424074234773751,0.5595237414144676,1.0257865667234165,5,
BIOCARTA_FREE_PATHWAY,0.10789210789210789,0.2008267685008815,0.13145761164276346,0.6784240867436555,1.3124758165581965,9,
BIOCARTA_FXR_PATHWAY,0.030969030969030968,0.09129580097322033,0.25720646646883816,0.7787014470722095,1.4643040496306787,7,
BIOCARTA_G1_PATHWAY,0.028971028971028972,0.0878313977698642,0.26635065708852557,0.620164774277402,1.3092543567166375,28,
BIOCARTA_G2_PATHWAY,0.08091908091908091,0.16539953552940564,0.15419096658142434,0.5975075103220207,1.2475938593801459,24,
BIOCARTA_GABA_PATHWAY,0.027972027972027972,0.0865117415335756,0.27128855468895297,0.740699363492699,1.4329532528693165,9,
BIOCARTA_GATA3_PATHWAY,0.011732453506532415,0.04990696814415366,0.3807304007227924,0.7301783129054948,1.4664130212970412,14,
BIOCARTA_GCR_PATHWAY,0.011134629781865267,0.048085985018329724,0.3807304007227924,0.7071218725557427,1.4419949739881501,17,
BIOCARTA_GHRELIN_PATHWAY,0.3096903096903097,0.4120961236978146,0.06815134386794833,0.5619558990126163,1.1206168728257602,13,
BIOCARTA_GH_PATHWAY,0.008593885561922055,0.04030873807437944,0.3807304007227924,0.6649136317416282,1.3986690983651615,27,
BIOCARTA_GLEEVEC_PATHWAY,0.0037183087715661417,0.02432787240149395,0.4317076958033464,0.7037954187316989,1.4654320208746838,23,
BIOCARTA_GPCR_PATHWAY,0.009640072781036905,0.044048913207544435,0.3807304007227924,0.6564427965212856,1.3858423227635803,28,
BIOCARTA_GRANULOCYTES_PATHWAY,0.919080919080919,0.9359296347074924,0.01353731628844181,0.3432078035075124,0.6892623119297044,14,
BIOCARTA_GSK3_PATHWAY,0.13486513486513488,0.23113909683782646,0.11573444770168878,0.5917133287986484,1.2226079490358583,20,
BIOCARTA_HBX_PATHWAY,0.03696303696303696,0.10176509593419214,0.2343926472946861,0.7681273469266232,1.4444200520824548,7,
BIOCARTA_HCMV_PATHWAY,0.0012977798595900395,0.011898415346985701,0.45505986738722953,0.7640423208773744,1.5580697322194124,17,
BIOCARTA_HDAC_PATHWAY,1.0660186565208474e-4,0.002672593676038549,0.5384340963099162,0.752606800135299,1.5758207783594715,25,
BIOCARTA_HER2_PATHWAY,0.06593406593406594,0.14457523900248356,0.1723243449009459,0.6093906882838007,1.2688639398125752,23,
BIOCARTA_HES_PATHWAY,0.20279720279720279,0.3070681322952835,0.09054289484694737,0.6055318123064365,1.2010899739652512,12,
BIOCARTA_HIF_PATHWAY,0.8561438561438561,0.8907291753417351,0.01870180356267077,0.3830217997571022,0.7736902691676003,15,
BIOCARTA_HIVNEF_PATHWAY,0.001150516686858116,0.010792760840625968,0.45505986738722953,0.6212079259601171,1.3714559676441644,55,
BIOCARTA_HSP27_PATHWAY,0.0036073154097051112,0.02398949426219385,0.4317076958033464,0.7631413361185568,1.5326124764254858,14,
BIOCARTA_HSWI_SNF_PATHWAY,0.24575424575424576,0.35109519829640856,0.07998588014999461,0.5918742563662394,1.17399981424902,12,
BIOCARTA_IFNA_PATHWAY,0.6763236763236763,0.7392071662904997,0.03156490690210691,0.46131970207588485,0.8924667689536351,9,
BIOCARTA_IFNG_PATHWAY,0.2627372627372627,0.3701316088188291,0.0764767053228531,0.6513370185284273,1.2040008838888467,6,
BIOCARTA_IGF1MTOR_PATHWAY,0.037130842154797776,0.1020287835349584,0.3217759180753611,0.6755503056040901,1.3836760752721209,18,
BIOCARTA_IGF1R_PATHWAY,0.0035703176289386867,0.02385544774241344,0.4317076958033464,0.7051445979990758,1.4682412612415467,23,
BIOCARTA_IGF1_PATHWAY,0.006432287522913684,0.03374568620817493,0.40701791892395395,0.7117194938716045,1.4705666888692017,20,
BIOCARTA_IL10_PATHWAY,0.7562437562437563,0.8063374337367563,0.025903375777249812,0.42847102982425245,0.8544297984623648,13,
BIOCARTA_IL12_PATHWAY,0.32167832167832167,0.4240645348137205,0.06628421870126719,0.5363871461038815,1.098639220485224,18,
BIOCARTA_IL17_PATHWAY,0.5694305694305695,0.6463128217935911,0.039678720361338855,0.4847492447868352,0.9666562514107117,13,
BIOCARTA_IL1R_PATHWAY,0.00175797877787988,0.014519982150827114,0.45505986738722953,0.6970596999394455,1.473461832887913,29,
BIOCARTA_IL22BP_PATHWAY,0.5434565434565435,0.6248426897777547,0.0418238690062304,0.5172682005785425,1.0007044519786288,9,
BIOCARTA_IL2RB_PATHWAY,0.010835718095750008,0.047446042295610155,0.3807304007227924,0.634009491448412,1.3646210532201382,36,
BIOCARTA_IL2_PATHWAY,0.3076923076923077,0.41020814479638007,0.06847149044920875,0.5329696286970005,1.1012307361110287,20,
BIOCARTA_IL3_PATHWAY,0.1848151848151848,0.28736631096675,0.09592067779217453,0.6036343580226476,1.21227550457426,14,
BIOCARTA_IL4_PATHWAY,0.04495504495504495,0.11432463407328756,0.2114001893849227,0.7124760865905424,1.3868322665611665,10,
BIOCARTA_IL5_PATHWAY,0.993006993006993,0.9954666706259063,0.00382852089890286,0.14804093838882482,0.28816118041531646,10,
BIOCARTA_IL6_PATHWAY,0.11888111888111888,0.21369937169429556,0.12443416863039332,0.597940787674494,1.235475228431712,20,
BIOCARTA_IL7_PATHWAY,0.1008991008991009,0.19197256739231217,0.13649043778041264,0.6311284069875696,1.2785480534025127,16,
BIOCARTA_INFLAM_PATHWAY,0.5714285714285714,0.647283943565431,0.03951722284739186,0.46073583373919946,0.967049608361647,26,
BIOCARTA_INSULIN_PATHWAY,0.004498909339188001,0.02677607176033531,0.40701791892395395,0.7199236520310349,1.487518257293783,20,
BIOCARTA_INTEGRIN_PATHWAY,0.1938061938061938,0.2964648742186539,0.09314545753378035,0.5355343817029357,1.14814208565651,34,
BIOCARTA_INTRINSIC_PATHWAY,0.027485828320296148,0.08632744083303656,0.35248785758361917,0.6711503829068877,1.378319950679539,19,
BIOCARTA_ION_PATHWAY,0.35364635364635366,0.4525203793496477,0.06170540536375225,0.6314467886011088,1.1576445920064224,5,
BIOCARTA_IRES_PATHWAY,0.23576423576423577,0.34112363632281917,0.08220549204158693,0.6533408076029947,1.2285704540026736,7,
BIOCARTA_KERATINOCYTE_PATHWAY,8.014000466808619e-4,0.008665520352087336,0.47727081536286214,0.6459561654467962,1.4106186088654007,45,
BIOCARTA_KREB_PATHWAY,0.4155844155844156,0.5090145479250539,0.054120056962023176,0.5682231813218241,1.0816492180478443,8,
BIOCARTA_LAIR_PATHWAY,0.6303696303696303,0.6995053516792648,0.03494010588484777,0.45818353137887763,0.9343486251168115,17,
BIOCARTA_LDL_PATHWAY,0.5974025974025974,0.6697433947137152,0.0374584205912161,0.5120842010448101,0.9465911089721922,6,
BIOCARTA_LECTIN_PATHWAY,0.8181818181818182,0.859439781575488,0.02150761617245765,0.40472474173751793,0.8027833049184315,12,
BIOCARTA_LEPTIN_PATHWAY,0.7042957042957043,0.7641783723744658,0.02956454973089309,0.45049230096238496,0.8768817235701349,10,
BIOCARTA_LIS1_PATHWAY,0.2897102897102897,0.3938336136032873,0.07147862874255066,0.5449553292504918,1.1161887500023677,18,
BIOCARTA_LONGEVITY_PATHWAY,0.001058477400631404,0.010558684774608336,0.45505986738722953,0.7872411869413147,1.5901989030668824,15,
BIOCARTA_LYMPHOCYTE_PATHWAY,0.2547452547452547,0.3617510309239632,0.07808923069433449,0.6269288613912576,1.193399239921918,8,
BIOCARTA_LYM_PATHWAY,0.07492507492507493,0.1580511818784343,0.1608014010700223,0.6771418976784849,1.329568441209146,11,
BIOCARTA_MALATEX_PATHWAY,0.7362637362637363,0.7906880837131027,0.02730747245912014,0.4375651560436523,0.8228165394851062,7,
BIOCARTA_MAL_PATHWAY,0.16683316683316685,0.26808755623276326,0.10208010766274725,0.5830178750921201,1.1973250545753564,19,
BIOCARTA_MAPK_PATHWAY,1.5280884417357187e-7,6.184392222053273e-5,0.6901324587967956,0.6764409732428124,1.520474771008635,78,
BIOCARTA_MCALPAIN_PATHWAY,0.11588411588411589,0.21098952461420328,0.12625398784911535,0.6058825557002955,1.2409811523918453,18,
BIOCARTA_MCM_PATHWAY,0.11288711288711288,0.2071303049282324,0.1281429168984153,0.6067224174464256,1.242701374550012,18,
BIOCARTA_MEF2D_PATHWAY,0.04795204795204795,0.11812882769404509,0.20429475651688608,0.6485069753595198,1.328285368251962,18,
BIOCARTA_MELANOCYTE_PATHWAY,0.019074966632756044,0.06883997512178072,0.35248785758361917,0.7964543784241347,1.4976874334283834,7,
BIOCARTA_MET_PATHWAY,0.0029413559864883525,0.021095851923345576,0.4317076958033464,0.6724419523663493,1.432846983708113,32,
BIOCARTA_MHC_PATHWAY,0.6353646353646354,0.7039452530262073,0.03456643220635099,0.4661236124432941,0.924569752003026,12,
BIOCARTA_MITOCHONDRIA_PATHWAY,0.08791208791208792,0.17453044502799234,0.1473312136993771,0.6195126051941612,1.2688985010082037,18,
BIOCARTA_MITR_PATHWAY,0.18081918081918083,0.2834868507253676,0.09721508088464663,0.7118887945206762,1.3051206023433166,5,
BIOCARTA_MONOCYTE_PATHWAY,0.16683316683316685,0.26808755623276326,0.10208010766274725,0.637494021411265,1.240879933056708,10,
BIOCARTA_MPR_PATHWAY,0.08091908091908091,0.16539953552940564,0.15419096658142434,0.6107050362491498,1.2629718677985586,21,
BIOCARTA_MRP_PATHWAY,0.8151848151848152,0.8569271174094922,0.02172400062005253,0.39588409828393334,0.7317944331312284,6,
BIOCARTA_MSP_PATHWAY,0.6833166833166833,0.7454124620085344,0.031061775811335762,0.4682267756063563,0.8655203614315579,6,
BIOCARTA_MTA3_PATHWAY,0.1048951048951049,0.19693030627424266,0.13355495455759195,0.6089615261619461,1.2472875632230058,18,
BIOCARTA_MTOR_PATHWAY,0.016371488535438756,0.06293137994694437,0.35248785758361917,0.6722286047664638,1.3902060178903621,21,
BIOCARTA_MYOSIN_PATHWAY,0.03169719034496355,0.09276667380917536,0.3217759180753611,0.7338067232234957,1.4408298533733663,11,
BIOCARTA_NDKDYNAMIN_PATHWAY,0.00479635132907389,0.027618014868427496,0.40701791892395395,0.7340471815174433,1.4969022844571664,17,
BIOCARTA_NEUTROPHIL_PATHWAY,0.998001998001998,0.9990599506500567,0.0020413003092183495,0.07841302030522845,0.14745125183525093,7,
BIOCARTA_NFAT_PATHWAY,1.3036878366307205e-4,0.0028630601869572337,0.5188480777437918,0.6705177581869484,1.4740209203832617,50,
BIOCARTA_NFKB_PATHWAY,0.06393606393606394,0.14172994454684595,0.17520404755855126,0.6331801508046233,1.3003417065015208,19,
BIOCARTA_NGF_PATHWAY,0.06893106893106893,0.14884277308057794,0.16823816568963962,0.6300098322337456,1.2938309252406588,19,
BIOCARTA_NKCELLS_PATHWAY,0.6253746253746254,0.695324298934974,0.03531570464798794,0.4531102354295983,0.936223925782558,20,
BIOCARTA_NKT_PATHWAY,0.32167832167832167,0.4240645348137205,0.06628421870126719,0.5271172891749802,1.0901077733811868,21,
BIOCARTA_NO1_PATHWAY,0.08191808191808192,0.166600090505331,0.15315880868307333,0.5847205001295545,1.2344265492153186,28,
BIOCARTA_NO2IL12_PATHWAY,0.7402597402597403,0.793775868340592,0.027026515707968327,0.43045318008529676,0.8644767136729476,14,
BIOCARTA_NOS1_PATHWAY,0.006804092022565315,0.03504725945441371,0.40701791892395395,0.7099663167162283,1.466944244989861,20,
BIOCARTA_NOTCH_PATHWAY,0.24475524475524477,0.3505518748188111,0.08020234446981443,0.6622580840770946,1.2241885474171859,6,
BIOCARTA_NPC_PATHWAY,0.14485514485514486,0.24296899074874212,0.11101149245045029,0.6353793924302965,1.2475677421028162,11,
BIOCARTA_NPP1_PATHWAY,0.0028303629130486526,0.0207194266993975,0.4317076958033464,0.8530724773561541,1.6238780964971196,8,
BIOCARTA_NTHI_PATHWAY,7.647650242599387e-4,0.008496389465601594,0.47727081536286214,0.7387380494714114,1.530495540051358,22,
BIOCARTA_NUCLEARRS_PATHWAY,0.17582417582417584,0.2785849497258893,0.09889030075206362,0.5386876231345896,1.1549023783988834,34,
BIOCARTA_P27_PATHWAY,0.04795204795204795,0.11812882769404509,0.20429475651688608,0.6838263999784975,1.3636433094590525,13,
BIOCARTA_P35ALZHEIMERS_PATHWAY,0.11288711288711288,0.2071303049282324,0.1281429168984153,0.689204834167222,1.3119455426257136,8,
BIOCARTA_P38MAPK_PATHWAY,1.0321771153711526e-4,0.0026583252434967957,0.5384340963099162,0.7174206155862916,1.538504394715139,35,
BIOCARTA_P53HYPOXIA_PATHWAY,0.5714285714285714,0.647283943565431,0.03951722284739186,0.4666113772458765,0.9641202101862834,20,
BIOCARTA_P53_PATHWAY,0.012180821574363744,0.05067293321611231,0.3807304007227924,0.719364448105371,1.457297761642679,16,
BIOCARTA_PAR1_PATHWAY,0.03230092827024218,0.09375873953852061,0.3217759180753611,0.6658180842525182,1.3673691804714279,19,
BIOCARTA_PARKIN_PATHWAY,0.2177822177822178,0.32234954178527847,0.08653997374441245,0.6385515688634119,1.215523807982675,8,
