TERMS,tValue,DF,pVal,FDR,pAdjust,collection,signif
BIOCARTA_FLUMAZENIL_PATHWAY,0.202392873218681,303,0.673140076302761,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MELANOCYTE_PATHWAY,2.41137095515354,186,0.802369804897655,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_S1P_PATHWAY,2.4328772391348,263,0.797313860574892,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_HBX_PATHWAY,3.9769655943377,234,0.467444479808292,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MALATEX_PATHWAY,2.55173474395588,244,0.769530044800261,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_TSP1_PATHWAY,-0.419185210306321,279,0.54121987106352,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_NPP1_PATHWAY,1.00290416951759,358,0.858509720151457,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_CPSF_PATHWAY,2.03452792701273,310,0.892121977533743,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_HES_PATHWAY,1.11077999238223,392,0.884356951612304,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_ERBB4_PATHWAY,4.44202138317348,257,0.385314732269701,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RHODOPSIN_PATHWAY,1.0185667946655,417,0.862253791887399,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RNAPOL3_PATHWAY,4.67361592868555,277,0.347929748576966,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_TERC_PATHWAY,5.58695240198414,243,0.223789752291155,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_EOSINOPHILS_PATHWAY,60.3388918772981,1757,1.8193510662774997e-71,1.0282972226600401e-68,5.154221570764157e-68,BIOCARTA,TRUE
BIOCARTA_REELIN_PATHWAY,0.417140187959094,278,0.721465098384674,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_BARD1_PATHWAY,-1.64239547576174,341,0.32553145891722,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_LDL_PATHWAY,-2.20301604744389,266,0.248609287520313,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_SAM68_PATHWAY,-0.52301102390603,192,0.520509428569787,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_FBW7_PATHWAY,2.03495625838469,307,0.892018943671623,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_CB1R_PATHWAY,0.858731987606372,291,0.824205923717363,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_SUMO_PATHWAY,5.03201945625802,199,0.294793635871834,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_IFNA_PATHWAY,0.0181854193281889,411,0.632727787404413,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PKC_PATHWAY,0.548764264352018,233,0.751659245623854,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PPARG_PATHWAY,2.39374199030144,257,0.806520414370141,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_ION_PATHWAY,5.31960755979631,164,0.256305045119547,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PELP1_PATHWAY,-0.271294606822114,204,0.571413619888681,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_STAT3_PATHWAY,-1.84043160510323,259,0.296758140100041,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_EEA1_PATHWAY,0.236976763007008,292,0.68083822632656,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MITR_PATHWAY,0.191528828693786,198,0.670728815020779,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_CIRCADIAN_PATHWAY,3.39145668360551,277,0.583354752748818,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RECK_PATHWAY,1.74360527241269,399,0.962432827384815,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MSP_PATHWAY,-1.63417427452322,191,0.32676392199885,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_SLRP_PATHWAY,-4.30363918869613,224,0.0729907521866488,0.829150938542843,1,BIOCARTA,FALSE
BIOCARTA_ALTERNATIVE_PATHWAY,0.48287072498889,431,0.736492616201688,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_FOSB_PATHWAY,1.28982970801755,189,0.927517233974249,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_NOTCH_PATHWAY,2.60893547482579,270,0.756261290707543,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_TUBBY_PATHWAY,-0.417983388911617,123,0.541461990023525,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_MRP_PATHWAY,6.64638699226227,254,0.123837094257506,0.943775139400086,1,BIOCARTA,FALSE
BIOCARTA_DICER_PATHWAY,-0.508783218868109,93,0.523323155886649,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PLCD_PATHWAY,2.71932159746671,176,0.730860448552763,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_RAN_PATHWAY,-1.68049643984088,227,0.319859166705936,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_WNT_LRP6_PATHWAY,-1.90387890318213,185,0.28791089593993,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_PEPI_PATHWAY,5.04027498381408,398,0.293637442917686,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_IFNG_PATHWAY,-1.26347971607736,177,0.385469858013639,0.999201393685791,1,BIOCARTA,FALSE
BIOCARTA_BOTULIN_PATHWAY,2.11010071466225,133,0.87397291746363,0.999201393685791,1,BIOCARTA,FALSE
KEGG_N_GLYCAN_BIOSYNTHESIS,1.93297218171528,1806,0.916598491522229,0.999201393685791,1,KEGG,FALSE
KEGG_OTHER_GLYCAN_DEGRADATION,2.5076767513491802,555,0.779796538453042,0.999201393685791,1,KEGG,FALSE
KEGG_O_GLYCAN_BIOSYNTHESIS,0.63181637138209,1230,0.770912062140046,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,-0.984166729245363,706,0.433700080929612,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,2.90095182713043,550,0.689712226278018,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCEROLIPID_METABOLISM,-0.352266191706333,1674,0.554783127624879,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,2.22143896424838,963,0.847357705639312,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,-3.34463040647885,2760,0.133331816014612,0.951504323377002,1,KEGG,FALSE
KEGG_ETHER_LIPID_METABOLISM,3.08893762967005,1128,0.648070809862451,0.999201393685791,1,KEGG,FALSE
KEGG_ARACHIDONIC_ACID_METABOLISM,0.392477231274844,2508,0.715853841133054,0.999201393685791,1,KEGG,FALSE
KEGG_LINOLEIC_ACID_METABOLISM,-0.712741167020521,980,0.483746623875089,0.999201393685791,1,KEGG,FALSE
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,-1.1439978773434,666,0.40568703814042,0.999201393685791,1,KEGG,FALSE
KEGG_SPHINGOLIPID_METABOLISM,0.290107676211488,1563,0.692729629450298,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,-0.516868064064342,1146,0.52172331911388,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,1.32963686541322,581,0.937146445105613,0.999201393685791,1,KEGG,FALSE
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.645248321401358,506,0.774039458223911,0.999201393685791,1,KEGG,FALSE
KEGG_RIBOFLAVIN_METABOLISM,3.43288896452037,547,0.574730976389496,0.999201393685791,1,KEGG,FALSE
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,1.36391969800578,843,0.945446768181143,0.999201393685791,1,KEGG,FALSE
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,-1.31547921707357,631,0.376866881118039,0.999201393685791,1,KEGG,FALSE
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,2.73794050092984,1576,0.726604140785818,0.999201393685791,1,KEGG,FALSE
KEGG_BASAL_TRANSCRIPTION_FACTORS,1.51482736568671,1068,0.982041804759756,0.999201393685791,1,KEGG,FALSE
KEGG_NON_HOMOLOGOUS_END_JOINING,5.2238340557804,412,0.268714910291302,0.999201393685791,1,KEGG,FALSE
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,1.76034628340433,1310,0.958373595863345,0.999201393685791,1,KEGG,FALSE
KEGG_LYSOSOME,2.75695983416863,4389,0.722264991278984,0.999201393685791,1,KEGG,FALSE
KEGG_CARDIAC_MUSCLE_CONTRACTION,-0.47006401357193,2532,0.531019693892463,0.999201393685791,1,KEGG,FALSE
KEGG_RENIN_ANGIOTENSIN_SYSTEM,1.75573449411385,619,0.959491723812418,0.999201393685791,1,KEGG,FALSE
KEGG_CIRCADIAN_RHYTHM_MAMMAL,2.11772879954756,507,0.872144522737538,0.999201393685791,1,KEGG,FALSE
KEGG_TASTE_TRANSDUCTION,5.59787183982548,2025,0.222527450530536,0.999201393685791,1,KEGG,FALSE
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0.468148486534702,762,0.733117764748036,0.999201393685791,1,KEGG,FALSE
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,3.49097732483641,2342,0.562742937703015,0.999201393685791,1,KEGG,FALSE
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,52.6325649980351,7425,2.1389320604043598e-54,2.2387488898898902e-52,6.059594527125551e-51,KEGG,TRUE
KEGG_PRIMARY_IMMUNODEFICIENCY,9.49677004551823,1216,0.0161216859800884,0.40261772957832,1,KEGG,FALSE
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,5.88689862957278,3053,0.190949006091085,0.999201393685791,1,KEGG,FALSE
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,1.20419397137358,2824,0.906840011267097,0.999201393685791,1,KEGG,FALSE
KEGG_DILATED_CARDIOMYOPATHY,4.95988366934946,3303,0.305025995789838,0.999201393685791,1,KEGG,FALSE
PID_HDAC_CLASSII_PATHWAY,0.312781646258693,1116,0.697827717809939,0.999201393685791,1,PID,FALSE
PID_DNA_PK_PATHWAY,6.22209725201175,555,0.158608367648972,0.981728134381882,1,PID,FALSE
PID_INTEGRIN_CS_PATHWAY,5.25846280279053,1043,0.264181100201277,0.999201393685791,1,PID,FALSE
PID_ARF6_TRAFFICKING_PATHWAY,6.76083210801329,1914,0.115559649325716,0.934578094460846,1,PID,FALSE
PID_ILK_PATHWAY,2.62136699009351,1681,0.753386905123497,0.999201393685791,1,PID,FALSE
PID_CIRCADIAN_PATHWAY,3.46239713191242,645,0.568626109493957,0.999201393685791,1,PID,FALSE
PID_HDAC_CLASSI_PATHWAY,3.79402782839372,2053,0.502232618394601,0.999201393685791,1,PID,FALSE
PID_CONE_PATHWAY,0.45167958474744,803,0.729348623659348,0.999201393685791,1,PID,FALSE
PID_ERB_GENOMIC_PATHWAY,2.79979877115248,485,0.71252438942027,0.999201393685791,1,PID,FALSE
PID_VEGF_VEGFR_PATHWAY,2.21041781944917,337,0.849985056207647,0.999201393685791,1,PID,FALSE
PID_MYC_PATHWAY,-2.93170705997538,831,0.168991352709,0.999201393685791,1,PID,FALSE
PID_RANBP2_PATHWAY,2.45914350611756,361,0.791150421232662,0.999201393685791,1,PID,FALSE
PID_AR_TF_PATHWAY,1.06620919745142,1846,0.873661161199967,0.999201393685791,1,PID,FALSE
PID_RXR_VDR_PATHWAY,4.1625011191234,953,0.433570713016418,0.999201393685791,1,PID,FALSE
PID_INTEGRIN2_PATHWAY,5.9448779090056,970,0.18503249782662,0.999201393685791,1,PID,FALSE
PID_CMYB_PATHWAY,3.40289023790236,2957,0.580968937294513,0.999201393685791,1,PID,FALSE
PID_ERA_GENOMIC_PATHWAY,2.72349664323621,2135,0.729905300767101,0.999201393685791,1,PID,FALSE
PID_RHODOPSIN_PATHWAY,1.73856435888175,817,0.963655304902826,0.999201393685791,1,PID,FALSE
PID_RETINOIC_ACID_PATHWAY,1.37764749904313,1013,0.948772160836922,0.999201393685791,1,PID,FALSE
PID_INTEGRIN5_PATHWAY,-2.52996687031636,642,0.210127507329056,0.999201393685791,1,PID,FALSE
PID_HNF3A_PATHWAY,3.52855154528994,1765,0.555053351550099,0.999201393685791,1,PID,FALSE
"NABA_COLLAGENS",4.37711203968291,1871,0.396217742888709,0.999201393685791,1,"NABA",FALSE
"NABA_ECM_GLYCOPROTEINS",2.09546176501826,7462,0.877483641351224,0.999201393685791,1,"NABA",FALSE
"NABA_ECM_AFFILIATED",7.22917076047613,6991,0.0861275038681342,0.870933107525341,1,"NABA",FALSE
"NABA_PROTEOGLYCANS",-4.31394161163126,1145,0.0724908236777454,0.829150938542843,1,"NABA",FALSE
"NABA_BASEMENT_MEMBRANES",-2.32170473844129,1558,0.234106461695196,0.999201393685791,1,"NABA",FALSE
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,3.90218095061222,3505,0.481502106191308,0.999201393685791,1,WP,FALSE
WP_TRANSSULFURATION_PATHWAY,5.62819241004616,370,0.219049101602254,0.999201393685791,1,WP,FALSE
WP_NANOPARTICLE_TRIGGERED_AUTOPHAGIC_CELL_DEATH,1.69047608741135,793,0.975321129275756,0.999201393685791,1,WP,FALSE
WP_BENZENE_METABOLISM,0.707047542701862,296,0.788474895603451,0.999201393685791,1,WP,FALSE
WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4,1.56882175685283,643,0.995148622161027,0.999201393685791,1,WP,FALSE
WP_CODEINE_AND_MORPHINE_METABOLISM,-1.30206862715404,597,0.379074164448243,0.999201393685791,1,WP,FALSE
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL,-1.19148192966396,5555,0.397577654101804,0.999201393685791,1,WP,FALSE
WP_MIR517_RELATIONSHIP_WITH_ARCN1_AND_USP1,-2.53318159467501,204,0.209771847108449,0.999201393685791,1,WP,FALSE
WP_ALANINE_AND_ASPARTATE_METABOLISM,-4.04503814087699,605,0.0864912267414225,0.870933107525341,1,WP,FALSE
WP_MICRORNA_NETWORK_ASSOCIATED_WITH_CHRONIC_LYMPHOCYTIC_LEUKEMIA,3.13981954772181,195,0.636979834256631,0.999201393685791,1,WP,FALSE
WP_WHITE_FAT_CELL_DIFFERENTIATION,0.17029397768863,1043,0.66602556390306,0.999201393685791,1,WP,FALSE
WP_EGFEGFR_SIGNALING_PATHWAY,7.44831972403054,5761,0.0746076325535271,0.829150938542843,1,WP,FALSE
WP_DNA_REPLICATION,0.2614245061846,1380,0.686300323227696,0.999201393685791,1,WP,FALSE
WP_PYRIMIDINE_METABOLISM,5.14108373773388,3101,0.279764528030241,0.999201393685791,1,WP,FALSE
WP_VITAMIN_B12_METABOLISM,7.43791011871319,2195,0.0751247976686765,0.829150938542843,1,WP,FALSE
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY,5.35865732467788,4582,0.251361216703851,0.999201393685791,1,WP,FALSE
WP_DNA_DAMAGE_RESPONSE,2.07173895855136,2316,0.883177953041239,0.999201393685791,1,WP,FALSE
WP_OXIDATIVE_DAMAGE,3.78715566258488,1599,0.503565626540239,0.999201393685791,1,WP,FALSE
WP_SPINAL_CORD_INJURY,2.53625058671608,4519,0.773133698427573,0.999201393685791,1,WP,FALSE
WP_PHASE_I_BIOTRANSFORMATIONS_NON_P450,-1.73876253414933,307,0.311310562214875,0.999201393685791,1,WP,FALSE
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS,-1.77058721760549,761,0.306705571765282,0.999201393685791,1,WP,FALSE
WP_BENZOAPYRENE_METABOLISM,-0.589972392154113,481,0.507372436795767,0.999201393685791,1,WP,FALSE
WP_PI3KAKTMTOR_VITD3_SIGNALLING,12.870066390238,1006,5.979584188849e-4,0.0259973921810576,1,WP,FALSE
WP_IL1_SIGNALING_PATHWAY,2.5144177842779,1748,0.778223187293771,0.999201393685791,1,WP,FALSE
WP_GASTRIC_CANCER_NETWORK_1,3.30102381565709,1674,0.602384078540133,0.999201393685791,1,WP,FALSE
WP_CYTOSINE_METHYLATION,1.93602125963481,309,0.915862345530839,0.999201393685791,1,WP,FALSE
WP_COPPER_HOMEOSTASIS,9.87497034491406,2153,0.0116947481317475,0.324013315885474,1,WP,FALSE
WP_KIT_RECEPTOR_SIGNALING_PATHWAY,8.69816618444574,1936,0.0305289835886938,0.594999362907922,1,WP,FALSE
WP_TGFBETA_RECEPTOR_SIGNALING,1.04631737219016,1850,0.868894980555163,0.999201393685791,1,WP,FALSE
WP_VITAMIN_D_METABOLISM,-1.20347411851201,343,0.395545175922336,0.999201393685791,1,WP,FALSE
WP_THYROXINE_THYROID_HORMONE_PRODUCTION,1.86808471017541,243,0.932280375617728,0.999201393685791,1,WP,FALSE
WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS,4.20395002577712,1949,0.426201970215572,0.999201393685791,1,WP,FALSE
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,1.73771902024995,1892,0.963860317353293,0.999201393685791,1,WP,FALSE
WP_FTO_OBESITY_VARIANT_MECHANISM,4.52501683822412,278,0.371643878885705,0.999201393685791,1,WP,FALSE
WP_GALANIN_RECEPTOR_PATHWAY,0.0601993411904118,801,0.641854501474013,0.999201393685791,1,WP,FALSE
WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,4.76853206441312,1304,0.33329788255115,0.999201393685791,1,WP,FALSE
WP_SEROTONIN_RECEPTOR_467_AND_NR3C_SIGNALING,-0.877804265924062,570,0.452945833244836,0.999201393685791,1,WP,FALSE
WP_ID_SIGNALING_PATHWAY,0.103396961284586,482,0.651295087062852,0.999201393685791,1,WP,FALSE
WP_INTEGRATED_BREAST_CANCER_PATHWAY,6.38408005966148,5341,0.144550305146222,0.956800628105521,1,WP,FALSE
WP_METASTATIC_BRAIN_TUMOR,0.297228049273129,707,0.69432911178269,0.999201393685791,1,WP,FALSE
WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS,-4.52789693600171,844,0.0627267794003252,0.784362294625305,1,WP,FALSE
WP_TYPE_II_INTERFERON_SIGNALING_IFNG,10.4315470465258,2427,0.00713294781558302,0.219105549204757,1,WP,FALSE
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY,0.459524484208705,1120,0.731143230649851,0.999201393685791,1,WP,FALSE
WP_MITOCHONDRIAL_LCFATTY_ACID_BETAOXIDATION,1.5062548622546,549,0.979961235098334,0.999201393685791,1,WP,FALSE
WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,6.4338711456049396,2175,0.140426761865661,0.956800628105521,1,WP,FALSE
WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY,6.54196398563336,884,0.131786826558734,0.951504323377002,1,WP,FALSE
WP_TP53_NETWORK,2.37841514625652,765,0.810133444549965,0.999201393685791,1,WP,FALSE
WP_GABA_RECEPTOR_SIGNALING,-0.0999795788618742,1146,0.607360396112615,0.999201393685791,1,WP,FALSE
WP_TGFB_SIGNALING_IN_THYROID_CELLS_FOR_EPITHELIALMESENCHYMAL_TRANSITION,1.17551195707444,610,0.899927968320795,0.999201393685791,1,WP,FALSE
WP_VALPROIC_ACID_PATHWAY,-2.27123110079077,542,0.240198969371047,0.999201393685791,1,WP,FALSE
WP_GLIAL_CELL_DIFFERENTIATION,-1.98198914617963,259,0.277265695637841,0.999201393685791,1,WP,FALSE
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,2.10828417063314,5682,0.874408429051387,0.999201393685791,1,WP,FALSE
WP_HISTONE_MODIFICATIONS,3.24680407406471,2388,0.61392568263383,0.999201393685791,1,WP,FALSE
WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA,1.80158314976141,2922,0.948379618825996,0.999201393685791,1,WP,FALSE
WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE,0.0801498851123042,1087,0.646207502694055,0.999201393685791,1,WP,FALSE
WP_ZINC_HOMEOSTASIS,5.63613409489116,1506,0.218144525909274,0.999201393685791,1,WP,FALSE
WP_BMP2WNT4FOXO1_PATHWAY_IN_HUMAN_PRIMARY_ENDOMETRIAL_STROMAL_CELL_DIFFERENTIATION,-3.49518828556269,433,0.121886898582811,0.941126708729572,1,WP,FALSE
WP_ALZHEIMERS_DISEASE,6.06086921731941,4840,0.173605124191313,0.999201393685791,1,WP,FALSE
WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY,5.23970512504465,1555,0.266630381658652,0.999201393685791,1,WP,FALSE
WP_IMATINIB_AND_CHRONIC_MYELOID_LEUKEMIA,7.03734541176607,786,0.0973533552433716,0.907988719200555,1,WP,FALSE
WP_EICOSANOID_SYNTHESIS,1.65331611492916,1129,0.984339584042084,0.999201393685791,1,WP,FALSE
WP_SIGNALING_OF_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,1.3616806009179,1221,0.944904462786865,0.999201393685791,1,WP,FALSE
