"pathway","N","DE","P.DE","FDR"
"BIOCARTA_IRES_PATHWAY",7,1,0.639459752330532,1
"BIOCARTA_PLC_PATHWAY",9,3,0.102882086251112,0.835143124210317
"BIOCARTA_BBCELL_PATHWAY",8,3,0.0492438587990779,0.721044867122814
"BIOCARTA_CDC25_PATHWAY",9,0,1,1
"BIOCARTA_DSP_PATHWAY",8,0,1,1
"BIOCARTA_NPC_PATHWAY",11,0,1,1
"BIOCARTA_FLUMAZENIL_PATHWAY",8,0,1,1
"BIOCARTA_MELANOCYTE_PATHWAY",7,4,0.00781301674138398,0.451719927108996
"BIOCARTA_S1P_PATHWAY",7,1,0.667367089920002,1
"BIOCARTA_HBX_PATHWAY",7,1,0.602108533901646,1
"BIOCARTA_MALATEX_PATHWAY",7,1,0.512778656975861,1
"BIOCARTA_TSP1_PATHWAY",7,1,0.665395254274437,1
"BIOCARTA_NPP1_PATHWAY",8,1,0.643278059833082,1
"BIOCARTA_CPSF_PATHWAY",8,0,1,1
"BIOCARTA_HES_PATHWAY",12,2,0.577246502657422,1
"BIOCARTA_ERBB4_PATHWAY",7,1,0.726912682613933,1
"BIOCARTA_RHODOPSIN_PATHWAY",10,0,1,1
"BIOCARTA_RNAPOL3_PATHWAY",7,1,0.533851122361591,1
"BIOCARTA_TERC_PATHWAY",6,1,0.548755810403029,1
"BIOCARTA_EOSINOPHILS_PATHWAY",9,2,0.223528416632837,0.945684440980129
"BIOCARTA_REELIN_PATHWAY",7,1,0.695900923376437,1
"BIOCARTA_BARD1_PATHWAY",8,0,1,1
"BIOCARTA_LDL_PATHWAY",6,0,1,1
"BIOCARTA_SAM68_PATHWAY",6,0,1,1
"BIOCARTA_FBW7_PATHWAY",9,3,0.114752153428312,0.840494772108662
"BIOCARTA_CB1R_PATHWAY",7,1,0.534556434189307,1
"BIOCARTA_SUMO_PATHWAY",6,0,1,1
"BIOCARTA_IFNA_PATHWAY",7,0,1,1
"BIOCARTA_PKC_PATHWAY",7,1,0.59737078571475,1
"BIOCARTA_PPARG_PATHWAY",8,2,0.240636046122537,0.956131723233026
"BIOCARTA_ION_PATHWAY",5,1,0.60528485870754,1
"BIOCARTA_PELP1_PATHWAY",6,1,0.574416407274919,1
"BIOCARTA_STAT3_PATHWAY",8,1,0.719080466829443,1
"BIOCARTA_EEA1_PATHWAY",7,0,1,1
"BIOCARTA_MITR_PATHWAY",5,0,1,1
"BIOCARTA_CIRCADIAN_PATHWAY",6,2,0.153318077118926,0.875652148938851
"BIOCARTA_RECK_PATHWAY",8,1,0.586939343083472,1
"BIOCARTA_MSP_PATHWAY",6,1,0.410247091762326,1
"BIOCARTA_SLRP_PATHWAY",5,0,1,1
"BIOCARTA_ALTERNATIVE_PATHWAY",8,0,1,1
"BIOCARTA_FOSB_PATHWAY",5,1,0.422622726157641,1
"BIOCARTA_NOTCH_PATHWAY",6,1,0.639677361055583,1
"BIOCARTA_TUBBY_PATHWAY",4,0,1,1
"BIOCARTA_MRP_PATHWAY",6,2,0.151514420549113,0.872800239256998
"BIOCARTA_DICER_PATHWAY",5,0,1,1
"BIOCARTA_PLCD_PATHWAY",5,1,0.571839797449675,1
"BIOCARTA_RAN_PATHWAY",5,0,1,1
"BIOCARTA_WNT_LRP6_PATHWAY",6,1,0.415119932828372,1
"BIOCARTA_PEPI_PATHWAY",8,2,0.0568340295804401,0.742738574138883
"BIOCARTA_IFNG_PATHWAY",6,0,1,1
"BIOCARTA_BOTULIN_PATHWAY",5,1,0.37037728066855,1
"KEGG_N_GLYCAN_BIOSYNTHESIS",45,5,0.447115434820303,1
"KEGG_OTHER_GLYCAN_DEGRADATION",16,1,0.85797304943243,1
"KEGG_O_GLYCAN_BIOSYNTHESIS",29,4,0.463634060248172,1
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",20,3,0.491091940749012,1
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",14,1,0.851521161840164,1
"KEGG_GLYCEROLIPID_METABOLISM",45,4,0.755414292951546,1
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",24,2,0.572019339844788,1
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",74,11,0.180590557200664,0.898233741752869
"KEGG_ETHER_LIPID_METABOLISM",33,2,0.787609455798873,1
"KEGG_ARACHIDONIC_ACID_METABOLISM",58,4,0.650803481432121,1
"KEGG_LINOLEIC_ACID_METABOLISM",29,1,0.804159377533953,1
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",19,1,0.745087272529598,1
"KEGG_SPHINGOLIPID_METABOLISM",38,3,0.769344163686426,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",25,2,0.666123818557073,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",13,0,1,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",15,0,1,1
"KEGG_RIBOFLAVIN_METABOLISM",15,2,0.298470679767317,1
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",24,2,0.697694268838105,1
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",16,1,0.836412205574076,1
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",40,4,0.542272046159172,1
"KEGG_BASAL_TRANSCRIPTION_FACTORS",31,2,0.780680321045566,1
"KEGG_NON_HOMOLOGOUS_END_JOINING",13,2,0.327244035448469,1
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",36,2,0.85209155113498,1
"KEGG_LYSOSOME",116,15,0.187068664951447,0.904378033801108
"KEGG_CARDIAC_MUSCLE_CONTRACTION",69,7,0.530935494546881,1
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",15,3,0.116073593779773,0.840494772108662
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",13,4,0.10862220311747,0.840494772108662
"KEGG_TASTE_TRANSDUCTION",50,5,0.452758672770675,1
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",20,4,0.111383646007858,0.840494772108662
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",53,8,0.222953300688494,0.945684440980129
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",119,15,0.0601412723922177,0.757245443054012
"KEGG_PRIMARY_IMMUNODEFICIENCY",31,6,0.0784795780903458,0.785627719893815
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",80,13,0.172749902603925,0.89559959394792
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",71,13,0.16956689896636,0.89559959394792
"KEGG_DILATED_CARDIOMYOPATHY",86,15,0.129476883298179,0.845720141148663
"PID_HDAC_CLASSII_PATHWAY",31,8,0.0468055555311745,0.720652928368572
"PID_DNA_PK_PATHWAY",16,2,0.460890905044048,1
"PID_INTEGRIN_CS_PATHWAY",26,4,0.365925698807874,1
"PID_ARF6_TRAFFICKING_PATHWAY",48,7,0.429977289594373,1
"PID_ILK_PATHWAY",44,9,0.100984049359287,0.826772841365504
"PID_CIRCADIAN_PATHWAY",14,2,0.541638046922475,1
"PID_HDAC_CLASSI_PATHWAY",61,13,0.019261266186452,0.562548114497097
"PID_CONE_PATHWAY",21,1,0.840061887007337,1
"PID_ERB_GENOMIC_PATHWAY",14,0,1,1
"PID_VEGF_VEGFR_PATHWAY",9,1,0.730819301584044,1
"PID_MYC_PATHWAY",25,1,0.943071858090686,1
"PID_RANBP2_PATHWAY",11,2,0.338795413934656,1
"PID_AR_TF_PATHWAY",50,6,0.573042901156153,1
"PID_RXR_VDR_PATHWAY",26,7,0.0732895085470095,0.77388430980496
"PID_INTEGRIN2_PATHWAY",28,7,0.0139518392141915,0.520073164392164
"PID_CMYB_PATHWAY",83,18,0.00528471282142174,0.445280597572864
"PID_ERA_GENOMIC_PATHWAY",63,10,0.227509917410884,0.945684440980129
"PID_RHODOPSIN_PATHWAY",22,2,0.587974627605685,1
"PID_RETINOIC_ACID_PATHWAY",30,7,0.0998671943941585,0.825227830352239
"PID_INTEGRIN5_PATHWAY",17,2,0.531926134813821,1
"PID_HNF3A_PATHWAY",43,7,0.187887784473925,0.906790619104988
"NABA_COLLAGENS",42,11,0.0367522493548455,0.684577992675995
"NABA_ECM_GLYCOPROTEINS",184,21,0.602635612493831,1
"NABA_ECM_AFFILIATED",157,14,0.636667397012889,1
"NABA_PROTEOGLYCANS",33,3,0.578903139949163,1
"NABA_BASEMENT_MEMBRANES",38,2,0.984350282406658,1
"WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",94,20,0.0129166815614515,0.50420990183928
"WP_TRANSSULFURATION_PATHWAY",10,0,1,1
"WP_NANOPARTICLE_TRIGGERED_AUTOPHAGIC_CELL_DEATH",23,5,0.130020195920424,0.845720141148663
"WP_BENZENE_METABOLISM",6,2,0.097477935261842,0.814542469272305
"WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4",18,3,0.568279488538184,1
"WP_CODEINE_AND_MORPHINE_METABOLISM",15,1,0.614504497277016,1
"WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL",149,28,0.0238014642405394,0.624347668457853
"WP_MIR517_RELATIONSHIP_WITH_ARCN1_AND_USP1",5,1,0.446803153841998,1
"WP_ALANINE_AND_ASPARTATE_METABOLISM",12,1,0.797278510409247,1
"WP_MICRORNA_NETWORK_ASSOCIATED_WITH_CHRONIC_LYMPHOCYTIC_LEUKEMIA",7,1,0.558811050294649,1
"WP_WHITE_FAT_CELL_DIFFERENTIATION",33,7,0.207090107153749,0.945684440980129
"WP_EGFEGFR_SIGNALING_PATHWAY",156,26,0.116139028069248,0.840494772108662
"WP_DNA_REPLICATION",40,2,0.898247881398495,1
"WP_PYRIMIDINE_METABOLISM",82,5,0.822982529359065,1
"WP_VITAMIN_B12_METABOLISM",51,5,0.455761897285881,1
"WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY",126,24,0.0160822127481708,0.542391770423427
"WP_DNA_DAMAGE_RESPONSE",66,8,0.406029265648457,1
"WP_OXIDATIVE_DAMAGE",40,8,0.0533426610221256,0.731470476725191
"WP_SPINAL_CORD_INJURY",118,18,0.116506560978969,0.840494772108662
"WP_PHASE_I_BIOTRANSFORMATIONS_NON_P450",8,1,0.560590391091006,1
"WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS",21,1,0.949529975308597,1
"WP_BENZOAPYRENE_METABOLISM",9,1,0.596251618614904,1
"WP_PI3KAKTMTOR_VITD3_SIGNALLING",21,3,0.479362332210838,1
"WP_IL1_SIGNALING_PATHWAY",51,8,0.203004991639063,0.941436707559203
"WP_GASTRIC_CANCER_NETWORK_1",28,3,0.617221328887446,1
"WP_CYTOSINE_METHYLATION",8,0,1,1
"WP_COPPER_HOMEOSTASIS",52,5,0.552094179715801,1
"WP_KIT_RECEPTOR_SIGNALING_PATHWAY",58,18,0.000367703639223673,0.138678802686384
"WP_TGFBETA_RECEPTOR_SIGNALING",55,10,0.125052708170023,0.845720141148663
"WP_VITAMIN_D_METABOLISM",10,2,0.289178454566492,1
"WP_THYROXINE_THYROID_HORMONE_PRODUCTION",6,0,1,1
"WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS",56,8,0.0229156172508524,0.615730955943549
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION",45,5,0.445496380298963,1
"WP_FTO_OBESITY_VARIANT_MECHANISM",8,3,0.120862957288046,0.840494772108662
"WP_GALANIN_RECEPTOR_PATHWAY",21,5,0.0877479273969236,0.79558929708388
"WP_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",37,5,0.432652905270891,1
"WP_SEROTONIN_RECEPTOR_467_AND_NR3C_SIGNALING",18,3,0.395245625146975,1
"WP_ID_SIGNALING_PATHWAY",15,1,0.88516702419968,1
"WP_INTEGRATED_BREAST_CANCER_PATHWAY",150,21,0.190735309608339,0.91740769460174
"WP_METASTATIC_BRAIN_TUMOR",23,3,0.210721823259633,0.945684440980129
"WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS",22,4,0.259622135592997,0.970329169043484
"WP_TYPE_II_INTERFERON_SIGNALING_IFNG",33,3,0.689692923980408,1
"WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY",32,4,0.389096701142919,1
"WP_MITOCHONDRIAL_LCFATTY_ACID_BETAOXIDATION",16,0,1,1
"WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION",58,16,0.000418261040949242,0.138678802686384
"WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY",21,2,0.625533931496942,1
"WP_TP53_NETWORK",19,4,0.218852484031326,0.945684440980129
"WP_GABA_RECEPTOR_SIGNALING",28,4,0.602936271857462,1
"WP_TGFB_SIGNALING_IN_THYROID_CELLS_FOR_EPITHELIALMESENCHYMAL_TRANSITION",18,1,0.906602103068313,1
"WP_VALPROIC_ACID_PATHWAY",12,1,0.573142369604114,1
"WP_GLIAL_CELL_DIFFERENTIATION",6,1,0.65176860435032,1
"WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS",157,18,0.665271751153455,1
"WP_HISTONE_MODIFICATIONS",64,4,0.897671525123705,1
"WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA",84,12,0.393504878543304,1
"WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE",40,3,0.592199595070488,1
"WP_ZINC_HOMEOSTASIS",37,1,0.956650446856,1
"WP_BMP2WNT4FOXO1_PATHWAY_IN_HUMAN_PRIMARY_ENDOMETRIAL_STROMAL_CELL_DIFFERENTIATION",13,1,0.798928611539637,1
"WP_ALZHEIMERS_DISEASE",138,15,0.221506825045466,0.945684440980129
"WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY",45,6,0.404549362013275,1
"WP_IMATINIB_AND_CHRONIC_MYELOID_LEUKEMIA",20,4,0.23282886279806,0.947668513626004
"WP_EICOSANOID_SYNTHESIS",25,2,0.662107073515062,1
"WP_SIGNALING_OF_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR",33,4,0.632308898536503,1
"WP_SIGNAL_TRANSDUCTION_OF_S1P_RECEPTOR",26,2,0.7667408825963,1
"WP_SELENIUM_MICRONUTRIENT_NETWORK",87,7,0.631828130207492,1
"WP_EUKARYOTIC_TRANSCRIPTION_INITIATION",41,2,0.865422075283147,1
"WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY",100,15,0.448081234052454,1
"WP_GLUTATHIONE_METABOLISM",20,0,1,1
"WP_NOTCH1_REGULATION_OF_HUMAN_ENDOTHELIAL_CELL_CALCIFICATION",16,2,0.676176226593093,1
"WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT",32,3,0.44479656164744,1
"WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER",14,4,0.131585097307567,0.845720141148663
"WP_IL5_SIGNALING_PATHWAY",38,9,0.0496306915245142,0.721044867122814
"WP_SRF_AND_MIRS_IN_SMOOTH_MUSCLE_DIFFERENTIATION_AND_PROLIFERATION",12,2,0.491663274973289,1
"WP_HIF1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS",7,2,0.185368358721016,0.903998317868583
"WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALLING",70,6,0.779585822667341,1
"WP_FOLATEALCOHOL_AND_CANCER_PATHWAY_HYPOTHESES",9,0,1,1
"WP_ALLOGRAFT_REJECTION",87,16,0.0231140341204226,0.615730955943549
"WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY",22,3,0.264024653039171,0.97520448769227
"WP_CHEMOKINE_SIGNALING_PATHWAY",161,33,0.000317489001644877,0.138678802686384
"WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME",68,6,0.916150852523548,1
"WP_FOCAL_ADHESION",192,32,0.0975766851054659,0.814542469272305
"WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS",71,10,0.496686426950844,1
"WP_GLUCURONIDATION",26,1,0.78265592224909,1
"WP_GENES_TARGETED_BY_MIRNAS_IN_ADIPOCYTES",17,5,0.035505783359463,0.681357917505001
"WP_MRNA_PROCESSING",123,6,0.984939619877377,1
"WP_WNTBETACATENIN_SIGNALING_PATHWAY_IN_LEUKEMIA",26,4,0.610167728837742,1
"WP_RALA_DOWNSTREAM_REGULATED_GENES",12,2,0.368543729303048,1
"WP_INTERLEUKIN1_INDUCED_ACTIVATION_OF_NFKAPPAB",9,3,0.0805471496114717,0.790615362760198
"WP_EBV_LMP1_SIGNALING",19,2,0.530086742115886,1
"WP_FARNESOID_X_RECEPTOR_PATHWAY",19,5,0.0147415593187035,0.53542099422932
"WP_MIR124_PREDICTED_INTERACTIONS_WITH_CELL_CYCLE_AND_DIFFERENTIATION",6,1,0.556730247528765,1
"WP_HEPATITIS_C_AND_HEPATOCELLULAR_CARCINOMA",50,6,0.635298867278994,1
"WP_TRANSCRIPTION_FACTOR_REGULATION_IN_ADIPOGENESIS",22,8,0.00394049472212473,0.445280597572864
"WP_PENTOSE_PHOSPHATE_METABOLISM",6,0,1,1
"WP_MIRNA_BIOGENESIS",7,0,1,1
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",85,4,0.866203997177196,1
"WP_MELATONIN_METABOLISM_AND_EFFECTS",35,7,0.122735812440985,0.845720141148663
"WP_DUAL_HIJACK_MODEL_OF_VIF_IN_HIV_INFECTION",8,2,0.152193193855615,0.872800239256998
"WP_AGERAGE_PATHWAY",64,9,0.347255761064122,1
"WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS",17,3,0.478291761155649,1
"WP_NUCLEOTIDE_GPCRS",9,3,0.0508225125991563,0.731470476725191
"WP_TRANSLATION_FACTORS",47,3,0.830638037515898,1
"WP_ESTROGEN_METABOLISM",15,1,0.694479785675017,1
"WP_MIRNA_REGULATION_OF_P53_PATHWAY_IN_PROSTATE_CANCER",30,3,0.500742415168273,1
"WP_G_PROTEIN_SIGNALING_PATHWAYS",93,17,0.121638848063731,0.840494772108662
"WP_DIFFERENTIATION_PATHWAY",48,8,0.177718147572118,0.89559959394792
"WP_TCELL_ANTIGEN_RECEPTOR_TCR_PATHWAY_DURING_STAPHYLOCOCCUS_AUREUS_INFECTION",59,4,0.885021776472763,1
"WP_OVERVIEW_OF_LEUKOCYTEINTRINSIC_HIPPO_PATHWAY_FUNCTIONS",32,7,0.0714083171090052,0.77388430980496
"WP_TFS_REGULATE_MIRNAS_RELATED_TO_CARDIAC_HYPERTROPHY",11,2,0.339170039745635,1
"WP_TGFBETA_SIGNALING_PATHWAY",130,18,0.436276723747068,1
"WP_ATM_SIGNALING_PATHWAY",38,4,0.618646221691087,1
"WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY",89,12,0.116356267024373,0.840494772108662
"WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS",54,12,0.029495915210664,0.647766882107062
"WP_OXIDATIVE_PHOSPHORYLATION",50,4,0.554215724990469,1
"WP_ARYLAMINE_METABOLISM",6,0,1,1
"WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING",49,10,0.0594775371532163,0.752231530156526
"WP_NAD_METABOLISM_SIRTUINS_AND_AGING",11,0,1,1
"WP_FATTY_ACID_BIOSYNTHESIS",21,3,0.461180618020206,1
"WP_CORTICOTROPINRELEASING_HORMONE_SIGNALING_PATHWAY",91,11,0.504188003697884,1
"WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE",16,3,0.478159834431838,1
"WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS",17,6,0.0223970135274194,0.615730955943549
"WP_EXERCISEINDUCED_CIRCADIAN_REGULATION",48,6,0.38179821797315,1
"WP_PI3KAKTMTOR_SIGNALING_PATHWAY_AND_THERAPEUTIC_OPPORTUNITIES",29,5,0.430857404642449,1
"WP_LNCRNAMEDIATED_MECHANISMS_OF_THERAPEUTIC_RESISTANCE",9,1,0.716066685885099,1
"WP_INSULIN_SIGNALLING_IN_HUMAN_ADIPOCYTES_NORMAL_CONDITION",8,1,0.68757006610553,1
"WP_NEURAL_CREST_DIFFERENTIATION",98,16,0.370430086245277,1
"WP_CATALYTIC_CYCLE_OF_MAMMALIAN_FLAVINCONTAINING_MONOOXYGENASES_FMOS",5,1,0.217225587280011,0.945684440980129
"WP_APOPTOSIS_MODULATION_BY_HSP70",18,1,0.86330869085308,1
"WP_SEROTONIN_TRANSPORTER_ACTIVITY",10,0,1,1
"WP_TNF_RELATED_WEAK_INDUCER_OF_APOPTOSIS_TWEAK_SIGNALING_PATHWAY",41,3,0.818033189662336,1
"WP_SCFA_AND_SKELETAL_MUSCLE_SUBSTRATE_METABOLISM",6,0,1,1
"WP_NRF2_PATHWAY",140,16,0.353374745235083,1
"WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_PREGNANCY_AND_LACTATION_STAGE_3_OF_4",31,3,0.804627488921628,1
"WP_RAC1PAK1P38MMP2_PATHWAY",66,9,0.398895022401168,1
"WP_SYNAPTIC_VESICLE_PATHWAY",48,4,0.882904191798577,1
"WP_OVARIAN_INFERTILITY_GENES",32,1,0.973784759451192,1
"WP_METABOLISM_OF_SPINGOLIPIDS_IN_ER_AND_GOLGI_APPARATUS",20,2,0.614792398977433,1
"WP_TCA_CYCLE_AKA_KREBS_OR_CITRIC_ACID_CYCLE",17,1,0.784283872374975,1
"WP_PARKINSONS_DISEASE_PATHWAY",69,3,0.899328184534963,1
"WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY",72,14,0.103790414904932,0.840109272644782
"WP_MFAP5MEDIATED_OVARIAN_CANCER_CELL_MOTILITY_AND_INVASIVENESS",13,1,0.791395854653119,1
"WP_TYPE_III_INTERFERON_SIGNALING",10,0,1,1
"WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3",88,16,0.0370982869907342,0.684577992675995
"WP_LET7_INHIBITION_OF_ES_CELL_REPROGRAMMING",13,1,0.63037602319527,1
"WP_GLOBO_SPHINGOLIPID_METABOLISM",21,3,0.456543958432549,1
"WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS",19,4,0.0709035583275169,0.77388430980496
"WP_NONHOMOLOGOUS_END_JOINING",10,2,0.284603367213088,0.998802804217815
"WP_HEME_BIOSYNTHESIS",8,1,0.410826363691395,1
"WP_ONE_CARBON_METABOLISM",30,1,0.95726311195412,1
"WP_H19_ACTION_RBE2F1_SIGNALING_AND_CDKBETACATENIN_ACTIVITY",16,3,0.325162563593972,1
"WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS",19,5,0.0791739609903075,0.787016952580846
"WP_GLYCOLYSIS_AND_GLUCONEOGENESIS",43,4,0.68704566582509,1
"WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS",155,27,0.0567185312790345,0.742738574138883
"WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY",31,4,0.205828342220851,0.945684440980129
"WP_LUNG_FIBROSIS",61,8,0.24838352002057,0.961961991873146
"WP_SIMPLIFIED_DEPICTION_OF_MYD88_DISTINCT_INPUTOUTPUT_PATHWAY",15,2,0.3362129512362,1
"WP_NANOMATERIAL_INDUCED_APOPTOSIS",19,1,0.864616983170111,1
"WP_BLOOD_CLOTTING_CASCADE",20,2,0.480433284985886,1
"WP_ETHANOL_METABOLISM_RESULTING_IN_PRODUCTION_OF_ROS_BY_CYP2E1",10,4,0.0431042714358712,0.717551519563081
"WP_INSULIN_SIGNALING",155,32,0.00331201323091901,0.427216570232715
"WP_SULFATION_BIOTRANSFORMATION_REACTION",15,0,1,1
"WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2",15,0,1,1
"WP_SEROTONIN_RECEPTOR_2_AND_ELKSRFGATA4_SIGNALING",18,2,0.698494525286574,1
"WP_ROBO4_AND_VEGF_SIGNALING_PATHWAYS_CROSSTALK",6,2,0.181753219680829,0.899794315368773
